Category,Sub_Category,Product_Name,Unit_Price,Quantity,Sales,Product_URL
Beauty & Personal Care,Tools & Accessories,Rubies Black Eyelashes and Adhesive,7.15,0,0.0,https://www.amazon.com/Rubies-Black-Eyelashes-and-Adhesive/dp/B008ROG5UK
Cell Phones & Accessories,Accessories,Disney Mickey Mouse Ice Cream D-Lish Treats Phone Charm,8.25,0,0.0,https://www.amazon.com/Disney-Mickey-Mouse-D-Lish-Treats/dp/B00QLBQSWQ
Electronics,Phones,"Samsung Galaxy Express, Gray 8GB",389.28,0,0.0,https://www.amazon.com/Samsung-Galaxy-Express-Gray-8GB/dp/B00A408AF8
Electronics,Phones,Apple iPhone 5,649.83,2,1299.66,
Electronics,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,36.32,2,72.64,
Electronics,Accessories,"Logitech Wireless Boombox Speaker - portable - wireless, wired",106.4,2,212.8,
Electronics,Machines,Okidata B400 Printer,343.20000000000005,1,343.20000000000005,
Electronics,Machines,Socket Bluetooth Cordless Hand Scanner (CHS),168.76,3,506.28,
Electronics,Phones,Wilson Electronics DB Pro Signal Booster,286.40000000000003,3,859.2,
Electronics,Phones,invisibleSHIELD by ZAGG Smudge-Free Screen Protector,14.392,5,71.96,
Electronics,Camera & Photo,Celestron 44320 Microscope Digital Kit MDK,44.55,0,0.0,https://www.amazon.com/Celestron-44320-Microscope-Digital-Kit/dp/B0013N536E
Electronics,Accessories,V7 USB Numeric Keypad,34.99,2,69.98,
Electronics,Phones,Plantronics MX500i Earset,42.95000000000001,3,128.85000000000002,
Electronics,Phones,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,52.791999999999994,7,369.544,
Electronics,Phones,AT&T 841000 Phone,55.2,10,552.0,
Electronics,Phones,Plantronics Encore H101 Dual Earpieces Headset,35.96,3,107.88,
Electronics,Accessories,Logitech G700s Rechargeable Gaming Mouse,99.99,3,299.96999999999997,
Electronics,Accessories,SanDisk Cruzer 64 GB USB Flash Drive,36.32,12,435.84000000000003,
Electronics,Phones,Jabra Supreme Plus Driver Edition Headset,95.992,1,95.992,
Electronics,Accessories,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,263.96,2,527.92,
Electronics,Accessories,AmazonBasics 3-Button USB Wired Mouse,5.592000000000001,3,16.776000000000003,
