DIRECCION,LOCALIDAD,PARTIDO,PROVINCIA,PAIS,DIRECCION_CONCAT,PUNTO_GOOGLE,PUNTO_OSM,PUNTO_CHECK
AV. SAN MARTIN 1146,COLONIA CAROYA,COLON,CORDOBA,ARGENTINA,"AV. SAN MARTIN 1146,COLONIA CAROYA,COLON,CORDOBA,ARGENTINA","-30.9996138, -64.0872934","-30.999547297959182, -64.08724358163265","-30.99980215278911, -64.08704230949608"
LEANDRO N. ALEM 513,OLIVA,TERCERO ARRIBA,CORDOBA,ARGENTINA,"LEANDRO N. ALEM 513,OLIVA,TERCERO ARRIBA,CORDOBA,ARGENTINA","-32.0456486, -63.5665892","-32.0522301, -63.5615422","-32.045570474828665, -63.56643139880634"
BUENOS AIRES 446,ALTO ALEGRE,UNION,CORDOBA,ARGENTINA,"BUENOS AIRES 446,ALTO ALEGRE,UNION,CORDOBA,ARGENTINA","-32.3456168, -62.88453699999999","-32.3456409, -62.8846617","-32.34547076339722, -62.88375712355238"
ITALIA 458,DEAN FUNES,ISCHILIN,CORDOBA,ARGENTINA,"ITALIA 458,DEAN FUNES,ISCHILIN,CORDOBA,ARGENTINA","-30.4282382, -64.3510048","-30.4263969, -64.3524202","-30.428419865099205, -64.35093482508893"
SAN MARTÍN Y FERRARI,WHEELWRIGHT,GENERAL LOPEZ,SANTA FE,ARGENTINA,"SAN MARTÍN Y FERRARI,WHEELWRIGHT,GENERAL LOPEZ,SANTA FE,ARGENTINA","-33.7931899, -61.2124969","-33.7925095, -61.2135192","-33.79313421432668, -61.212772607938966"
SANTA FE 1515 - FIRMAT,FIRMAT,GENERAL LOPEZ,SANTA FE,ARGENTINA,"SANTA FE 1515 - FIRMAT,FIRMAT,GENERAL LOPEZ,SANTA FE,ARGENTINA","-33.458464, -61.48883","-33.458422614285716, -61.49050261428572","-33.458529733350865, -61.49042847241272"
HIPÓLITO YRIGOYEN 963,LAGUNA LARGA,RIO SEGUNDO,CORDOBA,ARGENTINA,"HIPÓLITO YRIGOYEN 963,LAGUNA LARGA,RIO SEGUNDO,CORDOBA,ARGENTINA","-31.7802849, -63.7987302","-31.7779141, -63.8009315","-31.780917281825026, -63.797816184414025"
CHILE 390 - SAN EDUARDO,SAN EDUARDO,GENERAL LOPEZ,SANTA FE,ARGENTINA,"CHILE 390 - SAN EDUARDO,SAN EDUARDO,GENERAL LOPEZ,SANTA FE,ARGENTINA","-33.8722717, -62.094869","-33.8715789, -62.0955037","-33.87214824036286, -62.09487409290343"
FELIX FRIAS 1490,CORDOBA,CAPITAL,CORDOBA,ARGENTINA,"FELIX FRIAS 1490,CORDOBA,CAPITAL,CORDOBA,ARGENTINA","-31.401342, -64.1744111","-31.401345757142856, -64.17437879795918","-31.401300238233926, -64.17437229250959"
FELIX PAZ 908,CORDOBA,CAPITAL,CORDOBA,ARGENTINA,"FELIX PAZ 908,CORDOBA,CAPITAL,CORDOBA,ARGENTINA","-31.4157589, -64.231867","-31.41589227755102, -64.23186364693878","-31.415770000962247, -64.23189437674048"
